Toronto Raptors* (1)+A2:A22,,,,,,,,,,,,,,,,,,,
Boston Celtics* (2),,,,,,,,,,,,,,,,,,,
Philadelphia 76ers* (3),,,,,,20153634,,,,,,,,,,,,,
Cleveland Cavaliers* (4),,,,1,,13310447,,,,,,change in cities nba,,,add to cities,,change in NBA,,
Indiana Pacers* (5),,,,,,,,,,,,KnicksNets,Knicks,,,,Brooklyn Nets,,New York Nets
Miami Heat* (6),,,,,,,,,,,,LakersClippers,Lakers,,,,,,
Milwaukee Bucks* (7),,,,,,,,,,,,,,,New York,Nets,,,
Washington Wizards* (8),,,,,,,,,,,,,,,Los Angeles,Clippers,,,
Detroit Pistons (9),,,,,,,,,,,,,,,,,,,
Charlotte Hornets (10),,,,,,,,,,,,,,,,,,,
New York Knicks (11),,,,,,,,,,,,,,,,,,,
Brooklyn Nets (12),,,,,,,,,,,,,,,,,,,
Chicago Bulls (13),,,,,,,,,,,,,,,,,,,
Orlando Magic (14),,,,,,,,,,,,,,,,,,,
Atlanta Hawks (15),,,,,,,,,,,,,,,,,,,
Houston Rockets* (1),,,,,,,,,,,,,,,,,,,
Golden State Warriors* (2),,,,,,,,,,,,,,,,,,,
Portland Trail Blazers* (3),,,,,,,,,,,,change in cities city name,,,,,,,
Oklahoma City Thunder* (4),,,,,,,,,,,,San Francisco Bay Area,,Golden State,,,,,
Utah Jazz* (5),,,,17,Pittsburgh,2342299,[note 27],,,,,Florida,,Miami,,,,,
New Orleans Pelicans* (6),,,,,,,,,,,,Arizona,,Phoenix,,,,,
San Antonio Spurs* (7),,,,19,Seattle,3798902,[note 33],,,,,Indianapolis,Indiana,,,,,,
Minnesota Timberwolves* (8),,,,20,Cincinnati,2165139,[note 36],,,,,,,,,,,,
Denver Nuggets (9),,,,21,Kansas City,2104509,[note 38],,,,,,,,,,,,
Los Angeles Clippers (10),,,,22,St. Louis,2807002,[note 42],,,,,,,,,,,,
Los Angeles Lakers (11),,,,23,Baltimore,2798886,[note 47],,,,,,,,,,,,
Sacramento Kings (12),,,,,,,,,,,,,,,,,,,
Dallas Mavericks (13),,,,,,,,,,,,,,,,,,,
Memphis Grizzlies (14),,,,,,,,,,,,,,,,,,,
Phoenix Suns (15),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,29,Buffalo,1132804,[note 58],,,,,,,,,,,,
,,,,30,Montreal,4098927,�,,,,,,,,,,,,
,,,,31,Vancouver,2463431,[note 60],,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,34,Columbus,2041520,�,,,,,,,,,,,,
,,,,35,Calgary,1392609,�,,,,,,,,,,,,
,,,,36,Ottawa,1323783,�,,,,,,,,,,,,
,,,,37,Edmonton,1321426,�,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,39,Winnipeg,778489,�,,,,,,,,,,,,
,,,,40,San Diego,3317749,[note 63],,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,43,Vegas,2155664,�,,,,,,,,,,,,
,,,,44,Jacksonville,1478212,�,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,46,,,,,,,,,,,,,,,
,,,,47,Carolina,1302946,�,,,,,,,,,,,,
,,,,48,Green Bay,318236,�,,,,,,,,,,,,
,,,,49,Hamilton,747545,�,,,,,,,,,,,,
,,,,50,Regina,,,,,,,,,,,,,,
