SCTG2,Year,Millions Of Dollars,Millions Of Dollars Growth
Live animals/fish,2012,1714.706177,0
Live animals/fish,2013,1692.280029,-1.307871154
Live animals/fish,2014,1589.233398,-6.089218633
Live animals/fish,2015,1638.141479,3.077463707
Live animals/fish,2020,1941.198608,18.50005831
Live animals/fish,2025,2235.852539,15.17896878
Live animals/fish,2030,2535.098877,13.38399258
Live animals/fish,2035,2877.785156,13.51766917
Live animals/fish,2040,3226.424561,12.11485171
Live animals/fish,2045,3511.296387,8.829334789
Cereal grains,2012,4238.394531,0
Cereal grains,2013,3724.301514,-12.12942811
Cereal grains,2014,4551.750977,22.21757449
Cereal grains,2015,4627.913086,1.673248597
Cereal grains,2020,4881.906738,5.488297806
Cereal grains,2025,5200.405762,6.524070215
Cereal grains,2030,5690.473633,9.423646799
Cereal grains,2035,6186.641602,8.719273663
Cereal grains,2040,6688.920898,8.118771528
Cereal grains,2045,7062.587402,5.586349571
Other ag prods.,2012,5460.041504,0
Other ag prods.,2013,5596.378418,2.496994097
Other ag prods.,2014,5436.199219,-2.862193856
Other ag prods.,2015,5742.407715,5.632768112
Other ag prods.,2020,5939.788086,3.43724063
Other ag prods.,2025,6252.710449,5.268241202
Other ag prods.,2030,6577.899414,5.200768011
Other ag prods.,2035,6788.550293,3.202403467
Other ag prods.,2040,7189.140137,5.90096304
Other ag prods.,2045,7607.705566,5.822190439
Animal feed,2012,1086.60022,0
Animal feed,2013,1148.439453,5.691074995
Animal feed,2014,1158.060425,0.837743048
Animal feed,2015,1161.033813,0.256755918
Animal feed,2020,1218.860596,4.980628605
Animal feed,2025,1279.395874,4.966546505
Animal feed,2030,1343.7677,5.031423618
Animal feed,2035,1408.713989,4.833148546
Animal feed,2040,1466.297119,4.08763811
Animal feed,2045,1553.321655,5.934986504
Meat/seafood,2012,5803.059082,0
Meat/seafood,2013,6038.981934,4.065491118
Meat/seafood,2014,5999.499023,-0.653800766
Meat/seafood,2015,6063.209961,1.061937626
Meat/seafood,2020,6515.757324,7.46382471
Meat/seafood,2025,7119.325684,9.263211156
Meat/seafood,2030,7760.232422,9.002351722
Meat/seafood,2035,8472.844727,9.182873218
Meat/seafood,2040,9252.131836,9.197467138
Meat/seafood,2045,9966.894531,7.725383814
Milled grain prods.,2012,5600.778809,0
Milled grain prods.,2013,5933.095215,5.933396365
Milled grain prods.,2014,5903.771484,-0.494240011
Milled grain prods.,2015,5812.712891,-1.542380053
Milled grain prods.,2020,6055.47168,4.176342332
Milled grain prods.,2025,6417.994629,5.986700432
Milled grain prods.,2030,6752.732422,5.215613479
Milled grain prods.,2035,7096.182129,5.086084944
Milled grain prods.,2040,7449.859863,4.984056609
Milled grain prods.,2045,7913.754395,6.226889361
Other foodstuffs,2012,15378.98145,0
Other foodstuffs,2013,15612.60254,1.519093411
Other foodstuffs,2014,15676.0625,0.406466256
Other foodstuffs,2015,15836.85254,1.025704249
Other foodstuffs,2020,17418.83008,9.989216829
Other foodstuffs,2025,18884.09766,8.411974694
Other foodstuffs,2030,20375.13281,7.89571831
Other foodstuffs,2035,21983.47656,7.893660202
Other foodstuffs,2040,23655.30859,7.604948319
Other foodstuffs,2045,25388.76758,7.327991421
Alcoholic beverages,2012,3571.049316,0
Alcoholic beverages,2013,3682.05249,3.108418955
Alcoholic beverages,2014,3695.530029,0.366033322
Alcoholic beverages,2015,3671.214844,-0.657962061
Alcoholic beverages,2020,4230.82666,15.24323256
Alcoholic beverages,2025,4717.164551,11.4951032
Alcoholic beverages,2030,5215.796875,10.57059424
Alcoholic beverages,2035,5703.209961,9.344939951
Alcoholic beverages,2040,6211.100098,8.905338225
Alcoholic beverages,2045,6675.760742,7.481132766
Tobacco prods.,2012,944.0452271,0
Tobacco prods.,2013,921.149292,-2.425300653
Tobacco prods.,2014,854.4282837,-7.243235041
Tobacco prods.,2015,820.5831909,-3.961139094
Tobacco prods.,2020,596.8165894,-27.26921585
Tobacco prods.,2025,431.639801,-27.67630647
Tobacco prods.,2030,307.2271118,-28.82326628
Tobacco prods.,2035,212.052597,-30.97855336
Tobacco prods.,2040,138.8786011,-34.50747456
Tobacco prods.,2045,91.79540253,-33.90241418
Building stone,2012,179.3421936,0
Building stone,2013,76.47100067,-57.36028475
Building stone,2014,78.19159698,2.249998429
Building stone,2015,80.41809845,2.847494553
Building stone,2020,80.29239655,-0.156310466
Building stone,2025,80.8361969,0.677275032
Building stone,2030,78.50810242,-2.880014859
Building stone,2035,77.27459717,-1.571182096
Building stone,2040,76.64260101,-0.817857586
Building stone,2045,76.37380219,-0.350717257
Natural sands,2012,85.77059937,0
Natural sands,2013,91.36640167,6.524149707
Natural sands,2014,94.59729767,3.536197045
Natural sands,2015,95.63349915,1.095381689
Natural sands,2020,100.7607956,5.361402117
Natural sands,2025,100.3065033,-0.450862158
Natural sands,2030,101.8554993,1.544262755
Natural sands,2035,105.2909012,3.372819279
Natural sands,2040,110.1903,4.65320246
Natural sands,2045,114.4628983,3.877472216
Gravel,2012,316.5105896,0
Gravel,2013,312.9130859,-1.136613997
Gravel,2014,314.0458984,0.362021453
Gravel,2015,321.3684082,2.331668652
Gravel,2020,349.6528015,8.801236397
Gravel,2025,338.7217102,-3.126270192
Gravel,2030,328.9321899,-2.890136643
Gravel,2035,320.2272034,-2.646438031
Gravel,2040,315.4605103,-1.488534723
Gravel,2045,310.7838135,-1.482498324
Nonmetallic minerals,2012,293.754303,0
Nonmetallic minerals,2013,279.1257935,-4.979845188
Nonmetallic minerals,2014,311.7936096,11.70361784
Nonmetallic minerals,2015,331.5010071,6.320654706
Nonmetallic minerals,2020,372.0632935,12.23594665
Nonmetallic minerals,2025,394.5860901,6.053485261
Nonmetallic minerals,2030,397.8662109,0.831281419
Nonmetallic minerals,2035,417.6123047,4.962998417
Nonmetallic minerals,2040,429.8909912,2.940211863
Nonmetallic minerals,2045,449.6517029,4.596679641
Metallic ores,2012,1333.19397,0
Metallic ores,2013,1352.405396,1.441007552
Metallic ores,2014,1368.039185,1.15599872
Metallic ores,2015,1343.43811,-1.79827263
Metallic ores,2020,1209.647705,-9.958806754
Metallic ores,2025,1234.695557,2.070673259
Metallic ores,2030,1173.827881,-4.929771996
Metallic ores,2035,1135.168579,-3.293438705
Metallic ores,2040,1141.071411,0.519996073
Metallic ores,2045,1117.602295,-2.05676139
Crude petroleum,2012,422.479187,0
Crude petroleum,2013,495.5545959,17.29680684
Crude petroleum,2014,532.0546265,7.365491273
Crude petroleum,2015,550.1848755,3.40759165
Crude petroleum,2020,545.3773804,-0.873796306
Crude petroleum,2025,529.1298218,-2.979140533
Crude petroleum,2030,498.197998,-5.845791044
Crude petroleum,2035,457.894104,-8.089934966
Crude petroleum,2040,419.9826965,-8.279514224
Crude petroleum,2045,390.3656006,-7.051980044
Gasoline,2012,14916.28613,0
Gasoline,2013,15362.61621,2.992233282
Gasoline,2014,15959.5332,3.885516529
Gasoline,2015,16318.5127,2.249310726
Gasoline,2020,15167.68164,-7.052303578
Gasoline,2025,13749.63672,-9.349121082
Gasoline,2030,12485.7334,-9.192267012
Gasoline,2035,11176.2959,-10.48746964
Gasoline,2040,10017.38965,-10.36932326
Gasoline,2045,9359.526367,-6.567212661
Fuel oils,2012,6917.757324,0
Fuel oils,2013,7076.59375,2.296068196
Fuel oils,2014,7203.052246,1.78699669
