DATE,GDPCAP
1/1/47,14203
1/4/47,14101
1/7/47,14008
1/10/47,14161
1/1/48,14316
1/4/48,14495
1/7/48,14515
1/10/48,14464
1/1/49,14202
1/4/49,14098
1/7/49,14182
1/10/49,13999
1/1/50,14490
1/4/50,14879
1/7/50,15388
1/10/50,15612
1/1/51,15759
1/4/51,15968
1/7/51,16223
1/10/51,16181
1/1/52,16288
1/4/52,16259
1/7/52,16306
1/10/52,16765
1/1/53,17013
1/4/53,17082
1/7/53,16908
1/10/53,16574
1/1/54,16425
1/4/54,16376
1/7/54,16485
1/10/54,16726
1/1/55,17132
1/4/55,17341
1/7/55,17496
1/10/55,17516
1/1/56,17376
1/4/56,17449
1/7/56,17352
1/10/56,17550
1/1/57,17583
1/4/57,17473
1/7/57,17566
1/10/57,17305
1/1/58,16793
1/4/58,16839
1/7/58,17154
1/10/58,17475
1/1/59,17734
1/4/59,18064
1/7/59,18000
1/10/59,17972
1/1/60,18268
1/4/60,18060
1/7/60,18059
1/10/60,17756
1/1/61,17816
1/4/61,18049
1/7/61,18319
1/10/61,18598
1/1/62,18863
1/4/62,18967
1/7/62,19126
1/10/62,19111
1/1/63,19257
1/4/63,19410
1/7/63,19761
1/10/63,19814
1/1/64,20169
1/4/64,20324
1/7/64,20567
1/10/64,20558
1/1/65,20997
1/4/65,21205
1/7/65,21604
1/10/65,22030
1/1/66,22510
1/4/66,22528
1/7/66,22650
1/10/66,22766
1/1/67,22911
1/4/67,22869
1/7/67,23020
1/10/67,23129
1/1/68,23551
1/4/68,23889
1/7/68,24009
1/10/68,24039
1/1/69,24365
1/4/69,24383
1/7/69,24475
1/10/69,24284
1/1/70,24189
1/4/70,24148
1/7/70,24288
1/10/70,23945
1/1/71,24520
1/4/71,24581
1/7/71,24707
1/10/71,24689
1/1/72,25083
1/4/72,25592
1/7/72,25767
1/10/72,26129
1/1/73,26718
1/4/73,26949
1/7/73,26741
1/10/73,26929
1/1/74,26643
1/4/74,26649
1/7/74,26330
1/10/74,26160
1/1/75,25789
1/4/75,25911
1/7/75,26277
1/10/75,26562
1/1/76,27101
1/4/76,27242
1/7/76,27321
1/10/76,27446
1/1/77,27706
1/4/77,28177
1/7/77,28605
1/10/77,28525
1/1/78,28549
1/4/78,29577
1/7/78,29787
1/10/78,30100
1/1/79,30077
1/4/79,30031
1/7/79,30163
1/10/79,30145
1/1/80,30154
1/4/80,29451
1/7/80,29328
1/10/80,29794
1/1/81,30316
1/4/81,30023
1/7/81,30300
1/10/81,29892
1/1/82,29365
1/4/82,29434
1/7/82,29247
1/10/82,29186
1/1/83,29511
1/4/83,30120
1/7/83,30647
1/10/83,31213
1/1/84,31762
1/4/84,32246
1/7/84,32478
1/10/84,32665
1/1/85,32920
1/4/85,33140
1/7/85,33560
1/10/85,33725
1/1/86,33972
1/4/86,34053
1/7/86,34294
1/10/86,34396
1/1/87,34585
1/4/87,34885
1/7/87,35101
1/10/87,35615
1/1/88,35728
1/4/88,36122
1/7/88,36239
1/10/88,36631
1/1/89,36929
1/4/89,37127
1/7/89,37299
1/10/89,37271
1/1/90,37593
1/4/90,37612
1/7/90,37505
1/10/90,37032
1/1/91,36746
1/4/91,36914
1/7/91,36969
1/10/91,36971
1/1/92,37304
1/4/92,37583
1/7/92,37815
1/10/92,38077
1/1/93,38029
1/4/93,38135
1/7/93,38186
1/10/93,38582
1/1/94,38852
1/4/94,39263
1/7/94,39366
1/10/94,39695
1/1/95,39729
1/4/95,39735
1/7/95,39944
1/10/95,40092
1/1/96,40292
1/4/96,40848
1/7/96,41080
1/10/96,41375
1/1/97,41532
1/4/97,42102
1/7/97,42487
1/10/97,42719
1/1/98,43035
1/4/98,43315
1/7/98,43721
1/10/98,44293
1/1/99,44600
1/4/99,44820
1/7/99,45263
1/10/99,45894
1/1/00,45944
1/4/00,46669
1/7/00,46605
1/10/00,46771
1/1/01,46531
1/4/01,46693
1/7/01,46378
1/10/01,46386
1/1/02,46690
1/4/02,46868
1/7/02,46958
1/10/02,46916
1/1/03,47078
1/4/03,47378
1/7/03,48063
1/10/03,48499
1/1/04,48663
1/4/04,48927
1/7/04,49267
1/10/04,49637
1/1/05,50081
1/4/05,50204
1/7/05,50523
1/10/05,50715
1/1/06,51277
1/4/06,51281
1/7/06,51228
1/10/06,51532
1/1/07,51540
1/4/07,51719
1/7/07,51866
1/10/07,52049
1/1/08,51637
1/4/08,51790
1/7/08,51384
1/10/08,50154
1/1/09,49491
1/4/09,49318
1/7/09,49384
1/10/09,49811
1/1/10,49903
1/4/10,50272
1/7/10,50545
1/10/10,50698
1/1/11,50495
1/4/11,50773
1/7/11,50660
1/10/11,51150
1/1/12,51468
1/4/12,51607
1/7/12,51578
1/10/12,51539
1/1/13,51921
1/4/13,51906
1/7/13,52212
1/10/13,52526
1/1/14,52293
1/4/14,52913
1/7/14,53452
1/10/14,53646
1/1/15,54071
1/4/15,54348
1/7/15,54439
1/10/15,54420
1/1/16,54640
1/4/16,54722
1/7/16,54918
1/10/16,55165
1/1/17,55401
1/4/17,55560
1/7/17,55874
1/10/17,56324
1/1/18,56785
1/4/18,57099
1/7/18,57317
1/10/18,57429
1/1/19,57789
1/4/19,57942
1/7/19,58229
1/10/19,58490
1/1/20,57691
1/4/20,52448
1/7/20,56290
1/10/20,56812
