ID Wage Bin,Wage Bin,Year,Geography,share
1,< $10K,2019,United States,0.1155676
2,$10-20k,2019,United States,0.128112293
3,$20-30k,2019,United States,0.139967491
4,$30-40k,2019,United States,0.129969903
5,$40-50k,2019,United States,0.104742982
6,$50-60k,2019,United States,0.085636505
7,$60-70k,2019,United States,0.064057041
8,$70-80k,2019,United States,0.047177783
9,$80-90k,2019,United States,0.038617388
10,$90-100k,2019,United States,0.025959348
11,$100-110k,2019,United States,0.027787067
12,$110-120k,2019,United States,0.013799994
13,$120-130k,2019,United States,0.015106371
14,$130-140k,2019,United States,0.008981559
15,$140-150k,2019,United States,0.006363936
16,$150-160k,2019,United States,0.007807795
17,$160-170k,2019,United States,0.005649514
18,$170-180k,2019,United States,0.003486961
19,$180-190k,2019,United States,0.003629053
20,$190-200k,2019,United States,0.002135869
21,$200k+,2019,United States,0.025443546
1,< $10K,2019,Michigan,0.135962529
2,$10-20k,2019,Michigan,0.137093265
3,$20-30k,2019,Michigan,0.136218392
4,$30-40k,2019,Michigan,0.129401435
5,$40-50k,2019,Michigan,0.101885824
6,$50-60k,2019,Michigan,0.08399695
7,$60-70k,2019,Michigan,0.064566165
8,$70-80k,2019,Michigan,0.04777481
9,$80-90k,2019,Michigan,0.037663503
10,$90-100k,2019,Michigan,0.024492835
11,$100-110k,2019,Michigan,0.025669357
12,$110-120k,2019,Michigan,0.012814479
13,$120-130k,2019,Michigan,0.013676109
14,$130-140k,2019,Michigan,0.007391976
15,$140-150k,2019,Michigan,0.005353375
16,$150-160k,2019,Michigan,0.006019741
17,$160-170k,2019,Michigan,0.004174609
18,$170-180k,2019,Michigan,0.002931653
19,$180-190k,2019,Michigan,0.002994721
20,$190-200k,2019,Michigan,0.001664681
21,$200k+,2019,Michigan,0.01825359
1,< $10K,2018,United States,0.120787166
2,$10-20k,2018,United States,0.134335294
3,$20-30k,2018,United States,0.145783345
4,$30-40k,2018,United States,0.126613239
5,$40-50k,2018,United States,0.105036589
6,$50-60k,2018,United States,0.084561405
7,$60-70k,2018,United States,0.064269172
8,$70-80k,2018,United States,0.045188964
9,$80-90k,2018,United States,0.035455367
10,$90-100k,2018,United States,0.025310661
11,$100-110k,2018,United States,0.026502257
12,$110-120k,2018,United States,0.013116283
13,$120-130k,2018,United States,0.013986303
14,$130-140k,2018,United States,0.009023453
15,$140-150k,2018,United States,0.006191916
16,$150-160k,2018,United States,0.007413813
17,$160-170k,2018,United States,0.004643153
18,$170-180k,2018,United States,0.002849817
19,$180-190k,2018,United States,0.003333622
20,$190-200k,2018,United States,0.001937697
21,$200k+,2018,United States,0.023660483
1,< $10K,2018,Michigan,0.141859214
2,$10-20k,2018,Michigan,0.142526765
3,$20-30k,2018,Michigan,0.141040082
4,$30-40k,2018,Michigan,0.12583936
5,$40-50k,2018,Michigan,0.102343757
6,$50-60k,2018,Michigan,0.083426782
7,$60-70k,2018,Michigan,0.064499338
8,$70-80k,2018,Michigan,0.045845697
9,$80-90k,2018,Michigan,0.034294314
10,$90-100k,2018,Michigan,0.024176355
11,$100-110k,2018,Michigan,0.024316557
12,$110-120k,2018,Michigan,0.01208556
13,$120-130k,2018,Michigan,0.012204368
14,$130-140k,2018,Michigan,0.007548809
15,$140-150k,2018,Michigan,0.005198612
16,$150-160k,2018,Michigan,0.005942409
17,$160-170k,2018,Michigan,0.003439036
18,$170-180k,2018,Michigan,0.002326755
19,$180-190k,2018,Michigan,0.002670431
20,$190-200k,2018,Michigan,0.001409754
21,$200k+,2018,Michigan,0.017006045
1,< $10K,2017,United States,0.126562664
2,$10-20k,2017,United States,0.141795001
3,$20-30k,2017,United States,0.146382644
4,$30-40k,2017,United States,0.129179428
5,$40-50k,2017,United States,0.103357681
6,$50-60k,2017,United States,0.082919856
7,$60-70k,2017,United States,0.062292327
8,$70-80k,2017,United States,0.045505743
9,$80-90k,2017,United States,0.03353177
10,$90-100k,2017,United States,0.023964444
11,$100-110k,2017,United States,0.024870049
12,$110-120k,2017,United States,0.01187037
13,$120-130k,2017,United States,0.013506426
14,$130-140k,2017,United States,0.008028921
15,$140-150k,2017,United States,0.005621842
16,$150-160k,2017,United States,0.007894298
17,$160-170k,2017,United States,0.003651116
18,$170-180k,2017,United States,0.002340211
19,$180-190k,2017,United States,0.003168955
20,$190-200k,2017,United States,0.001756268
21,$200k+,2017,United States,0.021799987
1,< $10K,2017,Michigan,0.149201236
2,$10-20k,2017,Michigan,0.148444377
3,$20-30k,2017,Michigan,0.141163253
4,$30-40k,2017,Michigan,0.126501017
5,$40-50k,2017,Michigan,0.10177649
6,$50-60k,2017,Michigan,0.080614292
7,$60-70k,2017,Michigan,0.063467614
8,$70-80k,2017,Michigan,0.046439441
9,$80-90k,2017,Michigan,0.033104833
10,$90-100k,2017,Michigan,0.022596295
11,$100-110k,2017,Michigan,0.022848119
12,$110-120k,2017,Michigan,0.011038108
13,$120-130k,2017,Michigan,0.01137094
14,$130-140k,2017,Michigan,0.006659203
