State,Year,Consumption(Mn)
Alabama,2045,3995.477051
Alaska,2045,32.15819931
Arizona,2045,1204.426636
Arkansas,2045,2784.176758
California,2045,23718.40039
Colorado,2045,2142.786621
Connecticut,2045,2447.652832
Delaware,2045,506.3822021
District of Columbia,2045,9.779299736
Florida,2045,5397.687988
Georgia,2045,5437.094727
Hawaii,2045,9.234800339
Idaho,2045,385.7546997
Illinois,2045,55917.12891
Indiana,2045,58579.94531
Iowa,2045,5271.95752
Kansas,2045,2218.905273
Kentucky,2045,11024.23145
Louisiana,2045,4630.275391
Maine,2045,600.8837891
Maryland,2045,2247.719971
Massachusetts,2045,4121.46582
Minnesota,2045,10318.14063
Mississippi,2045,3010.011719
Missouri,2045,5027.991699
Montana,2045,180.5545959
Nebraska,2045,1863.998657
Nevada,2045,636.1055908
New Hampshire,2045,422.4870911
New Jersey,2045,9393.731445
New Mexico,2045,275.6065063
New York,2045,10359.84473
North Carolina,2045,9028.287109
North Dakota,2045,1134.796021
Ohio,2045,72034.00781
Oklahoma,2045,1458.00647
Oregon,2045,771.696106
Pennsylvania,2045,11682.95898
Rhode Island,2045,537.0001831
South Carolina,2045,4196.543457
South Dakota,2045,533.2103882
Tennessee,2045,9388.966797
Texas,2045,19700.50781
Utah,2045,2172.834229
Vermont,2045,873.059021
Virginia,2045,3325.44873
Washington,2045,5139.310547
West Virginia,2045,1894.727051
Wisconsin,2045,19654.6875
Wyoming,2045,396.6925049
Alabama,2040,3701.823486
Alaska,2040,29.50379944
Arizona,2040,1064.733521
Arkansas,2040,2610.287842
California,2040,21534.14844
Colorado,2040,1959.84375
Connecticut,2040,2323.84375
Delaware,2040,521.8505859
District of Columbia,2040,9.209899902
Florida,2040,4872.050293
Georgia,2040,5130.574219
Hawaii,2040,8.958299637
Idaho,2040,357.2124939
Illinois,2040,51985.20703
Indiana,2040,54160.80859
Iowa,2040,4877.848145
Kansas,2040,2045.847656
Kentucky,2040,10262.21777
Louisiana,2040,4322.17627
Maine,2040,568.8607788
Maryland,2040,2116.545654
Massachusetts,2040,3791.365723
Minnesota,2040,9497.748047
Mississippi,2040,2761.980957
Missouri,2040,4640.706055
Montana,2040,187.2169037
Nebraska,2040,1727.413208
Nevada,2040,606.8311157
New Hampshire,2040,395.4147034
New Jersey,2040,8732.706055
New Mexico,2040,259.8579102
New York,2040,9618.828125
North Carolina,2040,8448.375
North Dakota,2040,1157.801514
Ohio,2040,67095.46875
Oklahoma,2040,1375.101929
Oregon,2040,719.2800903
Pennsylvania,2040,10838.56445
Rhode Island,2040,509.6915894
South Carolina,2040,3955.465576
South Dakota,2040,490.2164917
Tennessee,2040,8762.414063
Texas,2040,18270.81836
Utah,2040,1963.38147
Vermont,2040,795.4138794
Virginia,2040,3058.115234
Washington,2040,4749.276367
West Virginia,2040,1735.176758
Wisconsin,2040,17838.24414
Wyoming,2040,410.6304016
Alabama,2035,3305.919189
Alaska,2035,26.79529953
Arizona,2035,901.0675659
Arkansas,2035,2364.155762
California,2035,18588.83594
Colorado,2035,1764.209961
Connecticut,2035,2127.281738
Delaware,2035,529.6660156
District of Columbia,2035,8.407799721
Florida,2035,4245.027344
Georgia,2035,4690.166504
Hawaii,2035,8.505599976
Idaho,2035,323.3285828
Illinois,2035,47786.08203
Indiana,2035,48978.48047
Iowa,2035,4371.249512
Kansas,2035,1840.282104
Kentucky,2035,9299.041016
Louisiana,2035,3972.368652
Maine,2035,533.5961914
Maryland,2035,1944.786621
Massachusetts,2035,3362.120117
Minnesota,2035,8535.350586
Mississippi,2035,2378.386475
