State,Year,Production(Mn)
Alabama,2045,5376.295898
Alaska,2045,409.3304138
Arizona,2045,2848.483398
Arkansas,2045,2087.815918
California,2045,14761.63086
Colorado,2045,4802.804199
Connecticut,2045,2638.737305
Delaware,2045,540.0133057
District of Columbia,2045,352.574707
Florida,2045,8547.860352
Georgia,2045,8113.512207
Hawaii,2045,253.2733002
Idaho,2045,268.8616943
Illinois,2045,25284.52344
Indiana,2045,35214.16016
Iowa,2045,3765.200439
Kansas,2045,3488.431885
Kentucky,2045,12540.5498
Louisiana,2045,3015.760498
Maine,2045,308.6236877
Maryland,2045,4417.727051
Massachusetts,2045,5689.253418
Minnesota,2045,5694.620605
Mississippi,2045,1954.393433
Missouri,2045,8147.187012
Montana,2045,680.8704834
Nebraska,2045,1509.496826
Nevada,2045,2047.724487
New Hampshire,2045,879.2476196
New Jersey,2045,7650.780762
New Mexico,2045,869.7279053
New York,2045,11042.38965
North Carolina,2045,9510.266602
North Dakota,2045,961.7969971
Ohio,2045,49675.40234
Oklahoma,2045,2045.327393
Oregon,2045,1679.258667
Pennsylvania,2045,13324.2666
Rhode Island,2045,202.383606
South Carolina,2045,6199.400391
South Dakota,2045,676.5789185
Tennessee,2045,8160.418945
Texas,2045,18312.17188
Utah,2045,1893.859375
Vermont,2045,201.2695923
Virginia,2045,4224.606445
Washington,2045,2025.729858
West Virginia,2045,1557.519653
Wisconsin,2045,8929.583984
Wyoming,2045,139.4026031
Alabama,2040,5008.429688
Alaska,2040,403.3684082
Arizona,2040,2678.730469
Arkansas,2040,1866.284668
California,2040,13672.11426
Colorado,2040,4462.461914
Connecticut,2040,2446.849121
Delaware,2040,494.9934082
District of Columbia,2040,267.0209961
Florida,2040,7947.95166
Georgia,2040,7575.439941
Hawaii,2040,242.6410065
Idaho,2040,254.1128998
Illinois,2040,23896.00977
Indiana,2040,33292.80469
Iowa,2040,3544.118896
Kansas,2040,3287.678223
Kentucky,2040,11742.33887
Louisiana,2040,2875.383301
Maine,2040,282.3215027
Maryland,2040,4099.066406
Massachusetts,2040,5386.621094
Minnesota,2040,5457.501465
Mississippi,2040,1869.92981
Missouri,2040,7572.946777
Montana,2040,659.7003784
Nebraska,2040,1386.887939
Nevada,2040,1955.246948
New Hampshire,2040,786.3605347
New Jersey,2040,7103.202637
New Mexico,2040,858.3314209
New York,2040,10463.64453
North Carolina,2040,8909.725586
North Dakota,2040,929.3308105
Ohio,2040,46731.29688
Oklahoma,2040,1942.014404
Oregon,2040,1541.750977
Pennsylvania,2040,12533.00684
Rhode Island,2040,184.0648041
South Carolina,2040,5975.505371
South Dakota,2040,616.500061
Tennessee,2040,7534.69873
Texas,2040,17253.37891
Utah,2040,1785.926758
Vermont,2040,186.9871063
Virginia,2040,3857.954834
Washington,2040,1889.095581
West Virginia,2040,1453.082031
Wisconsin,2040,8533.369141
Wyoming,2040,139.4615021
Alabama,2035,4786.02002
Alaska,2035,390.8673096
Arizona,2035,2590.65918
Arkansas,2035,1724.936768
California,2035,13145.70898
Colorado,2035,4294.483398
Connecticut,2035,2314.564697
Delaware,2035,452.7532043
District of Columbia,2035,210.0049896
Florida,2035,7656.684082
Georgia,2035,7339.668945
Hawaii,2035,244.5151062
Idaho,2035,253.1812897
Illinois,2035,23293.89063
Indiana,2035,31918.64844
Iowa,2035,3447.155273
Kansas,2035,3158.25708
Kentucky,2035,11202.66016
Louisiana,2035,2903.767822
Maine,2035,270.8045044
Maryland,2035,3969.330811
Massachusetts,2035,5294.432617
Minnesota,2035,5480.611328
Mississippi,2035,1878.856934
Missouri,2035,7071.498047
Montana,2035,663.5385132
Nebraska,2035,1338.084595
Nevada,2035,1967.230957
New Hampshire,2035,744.3933716
New Jersey,2035,6860.015137
New Mexico,2035,880.0485229
New York,2035,10258.34375
North Carolina,2035,8668.660156
North Dakota,2035,926.239624
Ohio,2035,44405.67578
Oklahoma,2035,1899.326294
Oregon,2035,1475.796143
Pennsylvania,2035,12124.67773
Rhode Island,2035,176.6175995
South Carolina,2035,5892.716309
South Dakota,2035,580.7114868
Tennessee,2035,7190.098633
Texas,2035,16691.70898
Utah,2035,1733.969849
Vermont,2035,174.0727997
Virginia,2035,3674.0896
Washington,2035,1824.553711
West Virginia,2035,1363.029053
Wisconsin,2035,8444.56543
Wyoming,2035,139.5536957
Alabama,2030,4618.077637
Alaska,2030,373.7357178
Arizona,2030,2490.322021
Arkansas,2030,1596.114624
California,2030,12548.33496
Colorado,2030,4133.706055
Connecticut,2030,2164.018799
Delaware,2030,411.6162109
District of Columbia,2030,162.0572052
Florida,2030,7341.453613
Georgia,2030,7070.428711
Hawaii,2030,246.234787
Idaho,2030,250.3534088
Illinois,2030,22816.40625
Indiana,2030,30600.03711
Iowa,2030,3365.406738
Kansas,2030,3016.982422
Kentucky,2030,10615.02441
Louisiana,2030,2943.834717
Maine,2030,255.0124969
Maryland,2030,3815.833984
Massachusetts,2030,5187.062988
Minnesota,2030,5447.867188
Mississippi,2030,1885.928101
Missouri,2030,6595.512207
Montana,2030,662.791748
Nebraska,2030,1279.918457
Nevada,2030,1929.385742
New Hampshire,2030,703.4359131
New Jersey,2030,6587.865723
New Mexico,2030,897.0397949
New York,2030,9997.949219
North Carolina,2030,8382.592773
North Dakota,2030,942.6152954
Ohio,2030,42075.96094
Oklahoma,2030,1850.348633
Oregon,2030,1409.851685
Pennsylvania,2030,11642.68945
Rhode Island,2030,168.8011017
South Carolina,2030,5770.419434
South Dakota,2030,553.9108887
Tennessee,2030,6891.745605
Texas,2030,16143.69727
Utah,2030,1682.205322
Vermont,2030,161.0039063
Virginia,2030,3484.274414
Washington,2030,1765.38269
West Virginia,2030,1244.977661
Wisconsin,2030,8337.439453
Wyoming,2030,138.164505
Alabama,2025,4467.499023
Alaska,2025,354.0553894
Arizona,2025,2394.915527
Arkansas,2025,1475.752563
California,2025,12044.75293
Colorado,2025,3969.45752
Connecticut,2025,2012.972168
Delaware,2025,372.8421936
District of Columbia,2025,127.9001007
Florida,2025,7037.889648
Georgia,2025,6810.489258
Hawaii,2025,248.1893921
Idaho,2025,247.0715942
Illinois,2025,22334.63672
Indiana,2025,29032.30664
Iowa,2025,3263.112549
Kansas,2025,2872.205078
Kentucky,2025,10053.03027
Louisiana,2025,2955.112793
Maine,2025,238.9282074
Maryland,2025,3643.546875
Massachusetts,2025,5073.492676
Minnesota,2025,5440.619629
Mississippi,2025,1870.065796
Missouri,2025,6160.038086
Montana,2025,666.4022827
Nebraska,2025,1206.379761
Nevada,2025,1895.841919
New Hampshire,2025,650.0545654
New Jersey,2025,6298.605469
New Mexico,2025,909.329895
New York,2025,9723.396484
North Carolina,2025,8074.334961
North Dakota,2025,974.7964478
Ohio,2025,39791.19531
Oklahoma,2025,1794.705688
Oregon,2025,1345.239258
Pennsylvania,2025,11097.7666
Rhode Island,2025,160.2798004
South Carolina,2025,5591.841797
South Dakota,2025,531.8005981
Tennessee,2025,6638.143555
Texas,2025,15584.14258
Utah,2025,1633.17041
Vermont,2025,147.552002
Virginia,2025,3290.855225
Washington,2025,1702.477417
West Virginia,2025,1121.916626
Wisconsin,2025,8223.798828
Wyoming,2025,136.5214996
Alabama,2020,4229.09082
Alaska,2020,347.0484009
Arizona,2020,2312.4375
Arkansas,2020,1360.087036
California,2020,11537.64355
Colorado,2020,3884.612305
Connecticut,2020,1857.211914
Delaware,2020,330.2211914
District of Columbia,2020,102.513298
Florida,2020,6742.71875
Georgia,2020,6517.449707
Hawaii,2020,251.1286926
Idaho,2020,246.2310944
Illinois,2020,21586.52734
Indiana,2020,27152.28711
Iowa,2020,3107.353271
Kansas,2020,2739.90332
Kentucky,2020,9333.609375
Louisiana,2020,2987.810791
Maine,2020,220.3809052
Maryland,2020,3474.519531
Massachusetts,2020,4942.770508
Minnesota,2020,5417.535156
Mississippi,2020,1852.93811
Missouri,2020,5659.174316
Montana,2020,673.7523804
Nebraska,2020,1134.913574
Nevada,2020,1880.826904
New Hampshire,2020,593.3977051
New Jersey,2020,5968.429199
New Mexico,2020,921.2553101
New York,2020,9447.980469
North Carolina,2020,7761.531738
North Dakota,2020,1019.051819
Ohio,2020,37437.15625
Oklahoma,2020,1733.173096
Oregon,2020,1286.269043
Pennsylvania,2020,10483.14941
Rhode Island,2020,149.2359009
South Carolina,2020,5382.610352
South Dakota,2020,506.471405
Tennessee,2020,6354.847168
Texas,2020,15072.37109
Utah,2020,1592.960938
Vermont,2020,135.9779968
Virginia,2020,3124.464355
Washington,2020,1636.241089
West Virginia,2020,1001.63501
Wisconsin,2020,8098.236328
Wyoming,2020,133.8992004
Alabama,2015,3977.079834
Alaska,2015,332.0325012
Arizona,2015,2171.691162
Arkansas,2015,1245.901123
California,2015,10798.0127
Colorado,2015,3729.594482
Connecticut,2015,1653.141846
Delaware,2015,285.4591064
District of Columbia,2015,79.86170197
Florida,2015,6395.536621
Georgia,2015,6155.300293
Hawaii,2015,248.210907
Idaho,2015,237.780899
Illinois,2015,20409.36328
Indiana,2015,25103.79102
Iowa,2015,2847.157471
Kansas,2015,2510.116211
Kentucky,2015,8528.083008
Louisiana,2015,2916.859131
Maine,2015,199.9848022
Maryland,2015,3260.478516
Massachusetts,2015,4721.842773
Minnesota,2015,5255.31543
Mississippi,2015,1769.264648
Missouri,2015,5192.539551
Montana,2015,648.0158081
Nebraska,2015,1039.367188
Nevada,2015,1793.69519
New Hampshire,2015,534.2861938
New Jersey,2015,5648.500977
New Mexico,2015,908.866272
New York,2015,9091.59375
North Carolina,2015,7370.407227
North Dakota,2015,965.4885864
Ohio,2015,35080.36328
Oklahoma,2015,1618.492065
Oregon,2015,1200.696777
Pennsylvania,2015,9778.358398
Rhode Island,2015,134.9244995
South Carolina,2015,5234.538574
South Dakota,2015,469.4570923
Tennessee,2015,6122.151855
Texas,2015,14315.3623
Utah,2015,1512.932983
Vermont,2015,122.3448029
Virginia,2015,2942.263428
Washington,2015,1556.824341
West Virginia,2015,902.3627319
Wisconsin,2015,7689.949219
Wyoming,2015,128.9414978
Alabama,2014,3806.257324
Alaska,2014,314.8236084
Arizona,2014,2106.918457
Arkansas,2014,1209.000977
California,2014,10539.51367
Colorado,2014,3660.641113
Connecticut,2014,1570.55896
Delaware,2014,279.32901
District of Columbia,2014,79.08080292
Florida,2014,6224.378906
Georgia,2014,6010.348145
Hawaii,2014,235.9954987
Idaho,2014,227.9176025
Illinois,2014,19894.17773
Indiana,2014,24915.06836
Iowa,2014,2716.859619
Kansas,2014,2417.882568
Kentucky,2014,8372.767578
Louisiana,2014,2710.760498
Maine,2014,200.2182007
Maryland,2014,3122.783691
Massachusetts,2014,4571.005859
Minnesota,2014,5100.559082
Mississippi,2014,1653.751709
Missouri,2014,5046.185059
Montana,2014,617.9489136
Nebraska,2014,984.4309082
Nevada,2014,1670.421753
New Hampshire,2014,522.5332031
New Jersey,2014,5213.47168
New Mexico,2014,858.5025024
New York,2014,8659.296875
North Carolina,2014,7274.221191
North Dakota,2014,881.5388794
Ohio,2014,34264.30078
Oklahoma,2014,1550.539795
Oregon,2014,1185.503662
Pennsylvania,2014,9474.210938
Rhode Island,2014,128.4656982
South Carolina,2014,5026.879883
South Dakota,2014,452.8161926
Tennessee,2014,5913.95166
Texas,2014,13919.33008
Utah,2014,1483.084961
Vermont,2014,115.763298
Virginia,2014,2817.862793
Washington,2014,1511.243896
West Virginia,2014,843.8516235
Wisconsin,2014,7517.186035
Wyoming,2014,127.3177032
Alabama,2013,3753.482422
Alaska,2013,295.7289124
Arizona,2013,2030.939819
Arkansas,2013,1162.281738
California,2013,10345.16992
Colorado,2013,3527.748779
Connecticut,2013,1415.697998
Delaware,2013,258.8699036
District of Columbia,2013,72.63159943
Florida,2013,6008.376465
Georgia,2013,5812.279297
Hawaii,2013,228.9503021
Idaho,2013,225.2147064
Illinois,2013,19165.0293
Indiana,2013,24295.49414
Iowa,2013,2595.996094
Kansas,2013,2357.08252
Kentucky,2013,8346.728516
Louisiana,2013,2636.849609
Maine,2013,188.2458038
Maryland,2013,2955.818848
Massachusetts,2013,4310.105469
Minnesota,2013,4892.101563
Mississippi,2013,1552.885986
Missouri,2013,5554.289551
Montana,2013,597.0545044
Nebraska,2013,946.088501
Nevada,2013,1578.151733
New Hampshire,2013,490.3460083
New Jersey,2013,4890.069336
New Mexico,2013,825.6253052
New York,2013,8129.773438
North Carolina,2013,6851.557617
North Dakota,2013,848.8970947
Ohio,2013,33027.33984
Oklahoma,2013,1520.465942
Oregon,2013,1171.418945
Pennsylvania,2013,9052.449219
Rhode Island,2013,119.9243011
South Carolina,2013,4875.6875
South Dakota,2013,447.7918091
Tennessee,2013,5818.914063
Texas,2013,13591.30566
Utah,2013,1433.577881
Vermont,2013,108.4693985
Virginia,2013,2666.549072
Washington,2013,1495.786621
West Virginia,2013,800.5405884
Wisconsin,2013,7223.968262
Wyoming,2013,127.6795959
Alabama,2012,3680.559326
Alaska,2012,243.2789001
Arizona,2012,1907.072998
Arkansas,2012,1106.949341
California,2012,9699.392578
Colorado,2012,3067.727783
Connecticut,2012,1291.425659
Delaware,2012,242.5926971
District of Columbia,2012,44.45000076
Florida,2012,5587.491699
Georgia,2012,5445.986328
Hawaii,2012,224.4598083
Idaho,2012,209.4911041
Illinois,2012,17969.39063
Indiana,2012,23448.27344
Iowa,2012,2487.571045
Kansas,2012,2155.932617
Kentucky,2012,8029.155762
Louisiana,2012,2138.56958
Maine,2012,183.3251038
Maryland,2012,2634.878174
Massachusetts,2012,3984.236572
Minnesota,2012,4545.908691
Mississippi,2012,1280.089111
Missouri,2012,5063.239258
Montana,2012,522.3302002
Nebraska,2012,924.5961914
Nevada,2012,1334.554199
New Hampshire,2012,456.8920898
New Jersey,2012,4408.960938
New Mexico,2012,707.378479
New York,2012,7246.611328
North Carolina,2012,6488.631348
North Dakota,2012,788.7288208
Ohio,2012,31536.35742
Oklahoma,2012,1419.609741
Oregon,2012,1060.532227
Pennsylvania,2012,8416.711914
Rhode Island,2012,116.2415009
South Carolina,2012,4471.239258
South Dakota,2012,417.9515991
Tennessee,2012,5540.532715
Texas,2012,12645.25488
Utah,2012,1324.806641
Vermont,2012,108.4499969
Virginia,2012,2444.316406
Washington,2012,1439.586792
West Virginia,2012,723.0112915
Wisconsin,2012,6962.483887
Wyoming,2012,114.137001
